,# rootname919                                     ,Mo,No,psffwhm,asecpix,skybg,skybgstd,x0peak,y0peak,x0col,y0col,x0A1fit,y0A1fit,x0A3fit,y0A3fit,a,b,PAdeg,InFit1D,RnFit1D,nFit1D,xsin,x0Fit2D,y0Fit2D,InFit2D,RnFit2D,nFit2D,qFit2D,PAFit2D,LT,R10,R20,R30,R40,R50,R60,R70,R80,R90,Rp,C1,C2,BGmedian,A_e,A0,A1,A2,A3,A4,S1,S3,G,M20,psi,sigma_psi,H,IRkurvmedian,IRkurvmad,QF,JClass
7,2MASXJ03152575-3131130_R_450px                    ,450,450,5.99334008,0.77781746,0.00572261,0.14616552,190.50052291,304.50145207,206.34476703,285.60517334,234.31829768,284.9959855,188.88345368,303.42515058,41.12664401,24.49968814,96.48944599,0.2280301,54.99998788,0.49999865,42.87389106,190.99492867,304.76963824,3.5183821,6.77252849,16.29767226,0.83703595,126.61669146,11426.86621094,26.76202996,28.35031922,29.54329253,30.35288954,31.3517253,32.32938566,33.82182379,40.48693981,48.95207273,29.0553565,0.154757,0.19350964,0.11580301,1.278E-05,0.88419699,0.06742935,0.99085785,0.73100414,84.87204321,0.00650203,0.34346303,0.68014818,-inf,1.57316301,0.58106303,0.57319922,0.21973786,5.84993853,88,0
17,2MASXJ10282351-2646143_R_450px                    ,450,450,3.6965648,0.77781746,-0.02738716,0.05851343,226.50194003,217.50159058,254.83540722,207.15979003,270.84585315,220.10822816,238.10991917,218.47209906,38.08800678,21.17477914,158.32281665,0.12398741,57.5972018,0.4999997,45.08110096,224.17459974,222.65664977,0.3607766,20.86004387,1.86375181,0.55393807,97.04076833,3248.20336914,29.28185527,32.55565472,36.64330278,40.0252001,45.97163581,59.48764421,67.4461511,75.26396742,81.43381887,59.26720435,0.36396067,0.24831484,0.41631684,1.801E-05,0.84446802,0.06187372,1.00071695,0.68645065,50.89132685,0.0266348,0.77892521,0.66472362,-inf,1.58267203,0.52593282,0.50284851,0.14186917,3.18842692,64,0
25,2MASXJ10283402-2655294_R_450px                    ,450,450,2.90054396,0.77781746,-0.00141265,0.12614551,225,225,262.70502775,253.70680423,275.31648739,236.63349281,263.78347804,268.678432,54.733849,14.65421853,59.88088005,0.29116753,12.99998465,1.95116775,86.7021638,226.95282814,225.27132682,0.13119841,26.00521108,7.39730018,1.00002995,10.78021367,1008.4296875,7.03662542,8.02514505,8.61543647,9.01214139,9.3279475,9.65271153,10.96879305,11.52753232,12.06233769,7.98818061,0.15728346,0.11164539,0.08796141,0.00012478,0.02439125,0.06169042,0.99799458,0.07586318,593.24324551,0.00065864,0.4358544,0.5576277,-inf,1.57083616,0.01307313,0.56040439,-0.11001715,1.4618898,96,0
36,2MASXJ10294837-3525077_R_450px                    ,450,450,4.28766395,0.77781746,-0.00766798,0.07317299,210.50069452,225.5011355,211.41929182,226.34679519,217.69557647,231.51331838,212.57264329,220.63407374,13.70266199,9.36067968,35.18662598,4.31499124,12.5227835,0.75301858,198.81848097,206.55756332,225.12760934,26.72770601,3.00132256,0.16362082,0.12335174,6.40302752,6555.765625,5.5824749,7.9408322,10.59861977,13.8576711,16.14045674,17.44332718,19.24558799,24.66120347,31.81630148,29.69982619,0.49214825,0.29473387,0.0255528,1.115E-05,0.71370621,0.1211592,0.9800358,0.08319986,4.20401021,0.04132567,0.2648928,0.78429874,-inf,1.57221681,0.58522603,0.35172777,0.64049625,2.08525611,0,0
48,2MASXJ10295128-3509507_R_450px                    ,450,450,2.36967407,0.77781746,-0.03717924,3.0073452,175.50101222,307.50166441,174.07987895,308.31928584,185.38496584,308.36550146,176.73675932,308.76003716,11.70294154,6.21198616,173.94589377,791.99616558,3.75793673,0.46482564,65.63467701,175.99828043,308.12160878,1993.77871978,0.97052386,0.16658186,2.67187535,178.86987971,71213.8984375,1.82446382,2.70825134,3.48607967,4.17085343,4.853448,5.86644396,6.71998433,7.95352175,9.19435032,5.92789308,0.46787051,0.27747067,0.00121884,4.205E-05,0.98367413,0.28112137,0.99830844,0.01121008,27.65822681,0.00783617,0.08742353,0.9165443,-0.39750354,1.56672083,0.08551899,0.35120778,0.72350011,1.19021504,64,0
60,2MASXJ10295767-2606054_R_450px                    ,450,450,2.90054396,0.77781746,0.00095208,0.12197824,236.5009845,308.50162267,236.96952025,309.23155021,237.23568715,309.44792546,236.96952025,301.50076145,3.53221786,3.50891871,19.97683528,15.60129299,2.82509279,0.5,11.35535554,236.99647138,309.01433701,48.71441883,2.13484453,14.45372008,0.05367512,55.98360441,4180.63330078,1,1,1,1.11054717,1.31035719,1.54479862,1.83340751,2.22166762,2.87128353,2.5428969,0.34667909,0.34068638,0.00052418,2.755E-05,0.01663042,0.0002975,0.80162744,0,34.10927907,0,,0.73749688,-inf,1.56990712,0.03532622,0.19623603,0.38891648,0.38942575,73,0
68,2MASXJ10320651-2627531_R_450px                    ,450,450,2.90054396,0.77781746,-0.02124742,0.1160846,236.50133697,227.50146921,236.78292249,228.20713474,236.24853088,229.74208888,237.11189262,229.4976518,9.58612362,6.717247,161.58532329,2.53230386,8.12859264,0.72520515,30.57395079,236.01458956,228.88403576,2.21146444,8.71247671,1.1045751,0.65632198,159.24798032,1322.37768555,2.75439677,4.31523069,5.78089199,7.2248947,8.3431745,9.68108479,11.59576968,14.36897492,19.00144654,17.08280935,0.52242177,0.35745534,0.20304579,8.77E-05,0.18694284,0.00985871,0.99928284,0.12581607,4.44758514,0.00239424,0.44233231,0.75617236,-inf,1.57387915,0.12030228,0.54557981,0.49533171,1.29742189,0,0
75,2MASXJ10322945-2611532_R_450px                    ,450,450,2.90054396,0.77781746,-0.00626233,0.13284639,215.50011346,225.5013876,215.84170397,226.47718513,216.52567465,227.08154493,214.90705037,226.15871932,9.78409046,4.37326769,29.95108751,0.7483371,15.22855594,1.02129007,4.07243588,216.07731396,226.5845143,0.83032571,20.15595469,1.03640062,0.23142821,30.77156273,909.88879395,4.77092225,7.43667569,9.83798132,12.23454345,14.95955861,17.90623234,21.67188424,26.26481606,32.91296744,32.81068363,0.54799552,0.34244826,0.36012335,0.00014592,0.07935469,0.00073367,1.00029827,0.12792618,3.15098348,0.00132153,0.39766562,0.65929888,-inf,1.58940305,0.32728403,0.76532545,-0.38046776,2.25003924,0,0
82,2MASXJ10340867-3438013_R_450px                    ,450,450,3.04681034,0.77781746,0.0009154,0.04187861,229.50203118,225.50085163,230.40462454,225.91168241,230.85446151,226.43795753,231.08089968,226.33838724,6.0068545,4.31974761,157.64180488,2.81332755,11.35223841,2.9247188,8.51706201,230.38647569,225.94422681,1.99763544,15.29327394,3.4847537,0.53409517,158.83191213,4217.21679688,2.01739775,3.72484204,5.21663575,7.09672215,9.36714309,12.09523241,15.52898329,20.2951212,27.9568437,21.73069,0.73628379,0.47488098,0.0378098,9.92E-06,0.02982693,0.00011784,0.99993081,0.00642201,4.56356361,0.00301756,0.13634654,0.71180632,-inf,1.57304294,0.11486853,0.39771338,0.70494428,0.40738727,0,0
93,2MASXJ10380074-2630076_R_450px                    ,450,450,3.00572365,0.77781746,-0.02180202,0.10799401,205.50194627,227.5014712,206.34583962,228.50159975,206.86259804,228.96366095,207.66641447,228.93246182,15.07816881,9.83196209,72.1122644,0.73131726,15.98267997,2.44134872,3.91470227,206.21031498,228.53963799,0.2906598,26.88318892,4.15835337,0.57921549,70.15130975,1912.99816895,2.80542239,5.07749698,7.50110023,10.16763836,13.2978737,17.04375383,21.77762095,28.47299235,39.49056318,29.61784522,0.74878344,0.47271112,0.32700119,5.643E-05,0.09485101,0.00828794,0.75855671,0.22173802,4.41825537,0.0180838,0.53946854,0.71559762,-1.13440741,1.56331064,0.65771127,0.44040304,0.86614245,1.52857395,0,0
