col1,Name,RA,DEC,Cluster,Selection,Field,r-band,JF_indicator,halpha+nii+dust_90r,halpha+nii+dust_90r_err,sfr,sfr_err
0,2MASXJ10282351-2646143,157.0978208,-26.7707278,Hydra,Sample,HYDRA-0035,,0,8.310793767088886E-15,7.34510207298433E-16,0.017217292733170363,0.0015737127522400338
1,2MASXJ10283402-2655294,157.141821,-26.924998,Hydra,Sample,HYDRA-0035,,0,2.463841396416006E-15,4.5210629927851E-16,0.004118635741429867,9.686529083911866E-4
2,2MASXJ10295767-2606054,157.4901,-26.1016,Hydra,Sample,HYDRA-0035,,0,8.552243060819515E-15,3.865516380811311E-16,0.017807266228211393,8.281998482839165E-4
3,2MASXJ10320651-2627531,158.0272,-26.4644,Hydra,Sample,HYDRA-0035,15.05,0,3.013210900128776E-14,2.772117590330116E-16,0.07835509566317145,5.939354905164602E-4
4,2MASXJ10322945-2611532,158.1228,-26.198,Hydra,Sample,HYDRA-0035,,0,2.9070790118370484E-14,4.059280381169983E-16,0.07511841721732831,8.697144351827195E-4
5,2MASXJ10370719-2752211,159.2791667,-27.8725,Hydra,Sample,HYDRA-0045,,0,2.7151096911892164E-14,1.3340438282944306E-16,0.06931722792635585,2.858233641647771E-4
6,2MASXJ10380074-2630076,159.5033,-26.502,Hydra,Sample,HYDRA-0036,,0,1.7535988838706098E-14,3.974980361367717E-16,0.04144573724833637,8.51652873225009E-4
7,2MASXJ10411260-2610222,160.3022,-26.1729,Hydra,Sample,HYDRA-0037,15.82,0,9.02866037960536E-15,3.231323558889637E-16,0.018979957259053052,6.923219093090364E-4
8,2MASXJ10425254-2613199,160.719,-26.222,Hydra,Sample,HYDRA-0037,15.59,0,7.359192652631026E-15,5.360084111241122E-16,0.014922194860088245,0.0011484159968265886
9,2MASXJ10425254-2613199_2,160.719,-26.222,Hydra,Sample,HYDRA-0037,,0,7.359192652631026E-15,5.360084111241122E-16,0.014922194860088245,0.0011484159968265886
10,2MASXJ10433425-2636536,160.8927,-26.6149,Hydra,Sample,HYDRA-0037,,0,1.0768757720667716E-14,5.517722606425123E-16,0.02335312382412962,0.0011821905730884262
11,2MASXJ10463276-2631418,161.6364,-26.5281,Hydra,Sample,HYDRA-0037,,0,1.1135722640032237E-14,3.154235443467092E-16,0.02429214821645046,6.758055220510821E-4
12,2MFGC8182,158.2791,-26.423,Hydra,Sample,HYDRA-0035,,0,4.2152834953766664E-14,4.77641995364269E-16,0.11630367324325303,0.0010233639936398048
13,6dFGSgJ102924.3-262712,157.3508333,-26.4533333,Hydra,Sample,HYDRA-0035,15.85,0,2.2018341781416908E-15,2.371632550138333E-16,0.003608348822824436,5.081302275577251E-4
14,6dFGSgJ103114.1-283956,157.8083333,-28.6658333,Hydra,Sample,HYDRA-0044,14.92,0,5.0758722296710156E-14,2.736175614585752E-16,0.14471570307464315,5.86234801675437E-4
15,6dFGSgJ103206.7-260151,158.0284,-26.0312,Hydra,Sample,HYDRA-0035,15.8,0,1.818773387091068E-14,6.43562143778122E-16,0.0432638300616508,0.0013788534760430758
16,6dFGSgJ103416.6-283406,158.5691,-28.568,Hydra,Sample,HYDRA-0045,14.87,0,6.061556306140575E-14,1.0965253670877255E-16,0.17831600283512292,2.3493423729093482E-4
17,6dFGSgJ103645.4-281005,159.1895,-28.1671,Hydra,Sample,HYDRA-0045,12.63,1,7.102533372487204E-14,2.0020009429670867E-16,0.21486504978613785,4.289354160961023E-4
18,6dFGSgJ103650.7-260919,159.2115,-26.1552,Hydra,Sample,HYDRA-0036,14.73,1,1.296241373849497E-13,3.020636898107805E-16,0.43605904909631743,6.471815856614269E-4
19,6dFGSgJ103719.9-281420,159.3328,-28.2387,Hydra,Sample,HYDRA-0045,,1,5.377443655471551E-14,9.032412707562608E-17,0.15488312918018937,1.9352247143940448E-4
20,6dFGSgJ104025.5-275251,160.1061,-27.8808,Hydra,Sample,HYDRA-0046,14.03,0,4.1810936089341214E-14,4.610336809070908E-16,0.11519466759578409,9.877801229260046E-4
21,6dFGSgJ104617.1-282524,161.5713,-28.423,Hydra,Sample,HYDRA-0046,15.04,0,3.07333214284462E-13,3.602721017593629E-16,1.2040150450106704,7.718950603836463E-4
22,ESO500-46,157.3946,-26.3272,Hydra,Sample,HYDRA-0035,15.24,1,3.8934704152263884E-14,3.283457486074398E-16,0.10592953547322359,7.03491778048747E-4
23,ESO501-10,158.2814,-27.0957,Hydra,Sample,HYDRA-0035,13.36,0,1.9764236349309067E-14,5.902809886243944E-16,0.04770866406921089,0.001264696814248133
24,ESO501-66,159.7296,-26.6396,Hydra,Sample,HYDRA-0036,13.46,0,4.6148347027606943E-14,6.02728972858286E-16,0.12937884468276026,0.0012913670379344846
25,ESO436-34,158.1833333,-28.61,Hydra,Sample,HYDRA-0044,12.77,0,1.1021010008671324E-13,9.698974598638116E-16,0.3602847768537967,0.0020780378349905507
26,ESO436-46,158.7106,-28.5829,Hydra,Sample,HYDRA-0045,12.24,0,1.827089606387661E-13,6.159595028487996E-13,0.6530199389374277,1.3197138921484601
27,ESO437-11,159.2105417,-27.9193333,Hydra,Sample,HYDRA-0045,,0,4.005604204112831E-14,3.7151661815652864E-16,0.10952778606963584,7.959868138693839E-4
28,ESO437-13,159.225,-27.9172222,Hydra,Sample,HYDRA-0045,13.02,0,2.0739985670264612E-14,3.497949696650017E-16,0.05049157503994257,7.494474535022617E-4
29,ESO437-17,159.4278,-28.6043,Hydra,Sample,HYDRA-0045,13.78,0,3.8824614043827195E-14,2.105465503368257E-16,0.10557724482678396,4.5110304514881547E-4
30,ESO437-2,158.7488,-28.0785,Hydra,Sample,HYDRA-0045,13.58,1,1.940783624188895E-13,2.05810244042982E-16,0.7010843802358921,4.409553500738194E-4
31,ESO437-25,159.6666667,-28.5688889,Hydra,Sample,HYDRA-0045,13.24,1,2.263068923928226E-13,2.283391433935022E-16,0.839972731937541,4.892242724789247E-4
32,ESO437-3,158.7827,-27.9921,Hydra,Sample,HYDRA-0045,14.83,0,1.2232633158546437E-13,1.6484328597873347E-16,0.40732243382400674,3.5318226852153515E-4
33,ESO437-9,159.1443,-28.2142,Hydra,Sample,HYDRA-0045,13.46,0,3.911411456757813E-14,2.1504307586883812E-16,0.10650402912526148,4.607370019001145E-4
34,ESO501-13,158.375,-26.8975,Hydra,Sample,HYDRA-0035,12.49,0,5.944862189134848E-14,1.0240296345199336E-15,0.1742842497586016,0.0021940178346098235
35,ESO501-17,158.5993,-26.4914,Hydra,Sample,HYDRA-0035,13.72,0,1.2265872867566644E-13,7.363461020731508E-16,0.40862488275257763,0.0015776462183648555
36,ESO501-18,158.6541667,-27.6527778,Hydra,Sample,HYDRA-0045,12.75,1,2.0725176434692597E-13,3.2104790292560835E-16,0.7573986855443408,6.878558989292185E-4
37,ESO501-2,157.6608,-27.5927,Hydra,Sample,HYDRA-0044,13.85,0,2.324263547240569E-14,3.7397682243856553E-16,0.05773338987888953,8.012578840509639E-4
38,ESO501-22,158.8402,-27.6956,Hydra,Sample,HYDRA-0045,15.18,1,7.200644732475248E-14,1.5513419949670174E-16,0.21836111792377752,3.323802251223389E-4
