ID,Galaxy,RA,DEC,redshift,distance(Mpc),cluster,selection,U_AUTO,F378_AUTO,F395_AUTO,F410_AUTO,F430_AUTO,G_AUTO,F515_AUTO,R_AUTO,F660_AUTO,I_AUTO,F861_AUTO,Z_AUTO,e_U_AUTO,e_F378_AUTO,e_F395_AUTO,e_F410_AUTO,e_F430_AUTO,e_G_AUTO,e_F515_AUTO,e_R_AUTO,e_F660_AUTO,e_I_AUTO,e_F861_AUTO,e_Z_AUTO,JClass,best.reduced_chi_square,best.universe.redshift,best.sfh.sfr,best.sfh.sfr100Myrs,best.stellar.m_star
1,2MASXJ10283402-2655294,157.141816433168,-26.9249939374376,0.06804,305.93,Hydra,Sample,17.576105,17.519773,17.276262,17.005913,16.260775,15.756207,15.315265,14.8645315,14.764163,14.389842,14.133611,14.0786705,0.08985522,0.14194965,0.16606615,0.12367506,0.05808688,0.014545495,0.02101039,0.006138514,0.0063901767,0.0045262184,0.007249739,0.0051467954,0,0.513850475843857,0.06804,2.13291625314765,2.22703735873241,358429749083.349
2,2MASXJ10463276-2631418,161.636531459225,-26.5282156736418,0.08407,376.88,Hydra,Sample,17.557007,17.467594,17.21486,16.647783,16.394987,16.11364,15.794126,15.431832,15.255337,15.010039,14.813811,14.76994,0.09334454,0.13870971,0.16127607,0.09208117,0.06704039,0.019837823,0.032888684,0.009715503,0.01068632,0.0074939677,0.014656478,0.009624104,0,0.296110786292154,0.08407,0,0,316596876345.469
3,2MFGC8182,158.279160418025,-26.423122242748,0.01011,49.79,Hydra,Sample,17.045113,16.408184,16.381193,15.936775,16.056519,15.598065,15.325001,14.920661,14.747678,14.622907,14.4121475,14.395102,0.063689925,0.05913663,0.084337935,0.053589683,0.05551657,0.014479393,0.024326826,0.0073672873,0.0071764276,0.0063274265,0.010586405,0.007782099,0,0.490076998070201,0.01011,0,0,6933003317.29312
4,6dFGSgJ102924.3-262712,157.351101062923,-26.4533889746783,0.03296,-99,Hydra,Sample,18.552473,18.041782,17.774076,17.775284,17.152555,16.732807,16.40915,15.889506,15.786278,15.459118,15.238176,15.151042,0.10486503,0.10934775,0.12519197,0.11945328,0.063028574,0.017186666,0.027620664,0.0077037467,0.008041048,0.0059492667,0.009773996,0.0067425454,0,0.253036683803783,0.03296,3.98293364789581E-08,6.65241975301728E-08,8237692866.43934
5,6dFGSgJ103650.7-260919,159.211418839875,-26.1552265034195,0.0123,59.48,Hydra,Sample,16.231081,15.790229,15.513775,15.391099,15.281809,15.146222,14.964564,14.701012,14.370365,14.482109,14.39077,14.426578,0.025264734,0.028946804,0.033971097,0.029758193,0.025484852,0.007349474,0.016241273,0.004599571,0.0050255107,0.005149237,0.012602609,0.00894816,0,0.198444606101449,0.0123,0.361822582487643,0.368459003866539,5097672624.21874
6,6dFGSgJ104617.1-282524,161.571297029008,-28.4232098222482,0.012035,-99,Hydra,Sample,16.46774,15.97954,15.882585,15.83535,15.568752,15.389556,15.158236,14.7136,14.117701,14.463329,14.310206,14.219333,0.010095082,0.011802992,0.01720777,0.015158386,0.012010964,0.0038939633,0.007265132,0.002378696,0.0019025286,0.0024646048,0.0045317193,0.003327005,0,1.23025693463367,0.01204,1.47531861538966,1.50237838576811,21156325532.1153
7,ESO437-11,159.21051228225,-27.919270683639,0.01611,76.28,Hydra,Sample,15.847928,15.382141,15.014973,14.917995,14.719512,13.878214,13.651847,13.022392,12.884741,12.554687,12.369035,12.24382,0.0136051765,0.016050672,0.018811373,0.014791108,0.012692294,0.0017216745,0.00418723,0.0010082669,0.001108632,0.00082247116,0.0015105607,0.0011795782,0,1.27601273612349,0.01611,8.49515340630351E-39,1.44403955867959E-38,154519407339.636
8,ESO437-13,159.224915298572,-27.9171495664867,0.01179,57.18,Hydra,Sample,16.09376,15.619161,15.3698,15.112848,14.909162,14.118431,13.922681,13.27026,13.138512,12.813846,12.641481,12.507395,0.013182321,0.01542933,0.020091446,0.013702711,0.0117311245,0.0017244209,0.0042231744,0.0010316618,0.0011395277,0.0008423284,0.0015417588,0.0011905307,0,0.791298564592134,0.01179,3.77161844613739E-39,6.41114524480129E-39,68602439430.4584
9,ESO437-25,159.667509799531,-28.5688545283236,0.01154,56.04,Hydra,Sample,15.5944805,15.203369,14.991416,14.604988,14.496275,14.233376,14.036737,13.562219,13.318775,13.206263,13.048131,12.988483,0.010220034,0.012889323,0.017359694,0.010544755,0.009822454,0.0021893731,0.0055203363,0.0014678214,0.0014846054,0.0013223675,0.0025337548,0.0021057748,0,0.251837290399122,0.01154,0.020370468774288,0.021305309339356,30470688101.9154
10,ESO501-13,158.375194511151,-26.8975427906392,0.01174,56.99,Hydra,Sample,15.614545,15.172449,15.300423,14.498603,14.293782,13.706673,13.477132,12.868419,12.72392,12.418207,12.235558,12.118365,0.021760827,0.02417383,0.039649334,0.018258438,0.014114607,0.0033517757,0.0058539123,0.0015456971,0.0015719503,0.0011875054,0.0019960408,0.0013426637,0,0.061751388356357,0.01174,5.05552164870041E-39,8.59357436096147E-39,92707520054.8536
