Name,RA,dec,Cluster,Selection,Field,r-band
2MASXJ10282351-2646143,10:28:23,-26:46:14,Hydra,Sample,HYDRA-0035,
2MASXJ10283402-2655294,10:28:34,-26:55:30,Hydra,Sample,HYDRA-0035,
2MASXJ10295767-2606054,10:29:57,-26:06:04,Hydra,Sample,HYDRA-0035,
2MASXJ10320651-2627531,10:32:07,-26:27:55,Hydra,Sample,HYDRA-0035,15.05
2MASXJ10322945-2611532,10:32:29,-26:11:54,Hydra,Sample,HYDRA-0035,
2MASXJ10370719-2752211,10:37:07,-27:52:21,Hydra,Sample,HYDRA-0045,
2MASXJ10380074-2630076,10:38:00,-26:30:09,Hydra,Sample,HYDRA-0036,
2MASXJ10411260-2610222,10:41:13,-26:10:22,Hydra,Sample,HYDRA-0037,15.82
2MASXJ10425254-2613199,10:42:52,-26:13:20,Hydra,Sample,HYDRA-0037,15.59
2MASXJ10425254-2613199_2,10:42:52,-26:13:18,Hydra,Sample,HYDRA-0037,
2MASXJ10433425-2636536,10:43:34,-26:36:54,Hydra,Sample,HYDRA-0037,
2MASXJ10463276-2631418,10:46:33,-26:31:41,Hydra,Sample,HYDRA-0037,
2MFGC8182,10:33:07,-26:25:24,Hydra,Sample,HYDRA-0035,
6dFGSgJ102924.3-262712,10:29:24.2,-26:27:12,Hydra,Sample,HYDRA-0035,15.85
6dFGSgJ103114.1-283956,10:31:14,-28:39:57,Hydra,Sample,HYDRA-0044,14.92
6dFGSgJ103206.7-260151,10:32:06,-26:01:49,Hydra,Sample,HYDRA-0035,15.80
6dFGSgJ103416.6-283406,10:34:17,-28:34:04.000,Hydra,Sample,HYDRA-0045,14.87
6dFGSgJ103645.4-281005,10:36:46,-28:10:02,Hydra,Sample,HYDRA-0045,12.63
6dFGSgJ103650.7-260919,10:36:51,-26:09:19,Hydra,Sample,HYDRA-0036,14.73
6dFGSgJ103719.9-281420,10:37:21,-28:14:14,Hydra,Sample,HYDRA-0045,
6dFGSgJ104025.5-275251,10:40:25,-27:52:52,Hydra,Sample,HYDRA-0046,14.03
6dFGSgJ104617.1-282524,10:46:17,-28:25:23,Hydra,Sample,HYDRA-0046,15.04
ESO500-46,10:29:34,-26:19:37,Hydra,Sample,HYDRA-0035,15.24
ESO501-10,10:33:08,-27:05:46,Hydra,Sample,HYDRA-0035,13.36
ESO501-66,10:38:55,-26:38:22,Hydra,Sample,HYDRA-0036,13.46
ESO436-34,10:32:44,-28:36:36,Hydra,Sample,HYDRA-0044,12.77
ESO436-46,10:34:51,-28:35:01,Hydra,Sample,HYDRA-0045,12.24
ESO437-11,10:36:50.53,-27:55:09.6,Hydra,Sample,HYDRA-0045,
ESO437-13,10:36:54,-27:55:02,Hydra,Sample,HYDRA-0045,13.02
ESO437-17,10:37:43,-28:36:15,Hydra,Sample,HYDRA-0045,13.78
ESO437-2,10:35:00,-28:04:44,Hydra,Sample,HYDRA-0045,13.58
ESO437-25,10:38:40,-28:34:08,Hydra,Sample,HYDRA-0045,13.24
ESO437-3,10:35:07,-27:59:35,Hydra,Sample,HYDRA-0045,14.83
ESO437-9,10:36:35,-28:12:51,Hydra,Sample,HYDRA-0045,13.46
ESO501-13,10:33:30,-26:53:51,Hydra,Sample,HYDRA-0035,12.49
ESO501-17,10:34:24,-26:29:28,Hydra,Sample,HYDRA-0035,13.72
ESO501-18,10:34:37,-27:39:10,Hydra,Sample,HYDRA-0045,12.75
ESO501-2,10:30:39,-27:35:36,Hydra,Sample,HYDRA-0044,13.85
ESO501-22,10:35:22,-27:41:45,Hydra,Sample,HYDRA-0045,15.18
ESO501-25,10:35:25,-26:39:28,Hydra,Sample,HYDRA-0036,12.81
ESO501-3,10:31:48,-26:33:56,Hydra,Sample,HYDRA-0035,12.32
ESO501-35,10:36:25,-27:00:01,Hydra,Sample,HYDRA-0036,12.77
ESO501-39,10:36:51,-26:02:29,Hydra,Sample,HYDRA-0036,15.50
ESO501-42,10:36:56,-26:11:39,Hydra,Sample,HYDRA-0036,12.77
ESO501-45,10:37:13,-26:40:15,Hydra,Sample,HYDRA-0036,13.96
ESO501-47,10:37:17,-27:28:07,Hydra,Sample,HYDRA-0045,13.17
ESO501-51,10:37:29,-26:19:02,Hydra,Sample,HYDRA-0036,11.64
ESO501-53,10:37:38,-26:16:36,Hydra,Sample,HYDRA-0036,13.67
