# rootname919                                     ,Mo,No,psffwhm,asecpix,skybg,skybgstd,x0peak,y0peak,x0col,y0col,x0A1fit,y0A1fit,x0A3fit,y0A3fit,a,b,PAdeg,InFit1D,RnFit1D,nFit1D,xsin,x0Fit2D,y0Fit2D,InFit2D,RnFit2D,nFit2D,qFit2D,PAFit2D,LT,R10,R20,R30,R40,R50,R60,R70,R80,R90,Rp,C1,C2,BGmedian,A_e,A0,A1,A2,A3,A4,S1,S3,G,M20,psi,sigma_psi,H,IRkurvmedian,IRkurvmad,QF,
2dFGRSTGS471Z004_F378_450px                       ,450.00000000,450.00000000,5.75624890,0.77781746,-0.00042301,0.01250117,225.50106430,228.50125867,226.15737538,228.90100245,225.77913843,230.04020232,223.82415862,230.45703131,15.24509512,12.27014200,129.13728393,0.01333196,20.29379513,0.50000000,94.99145859,226.00217913,229.64001865,0.01279400,20.14141608,0.56047580,0.84001828,131.75317977,45.65723419,8.56148408,12.58452506,16.15441457,19.10981266,22.50823326,26.14646891,30.45524209,40.85925276,54.45174546,33.73118598,0.51145359,0.38367040,0.99435527,0.00027372,0.17629343,0.00846357,0.97668059,0.56953639,2.27820498,0.00387131,0.90547542,0.53511052,0.14182522,1.57070887,0.69740546,0.85540911,0.71722651,6.13862545,0.00000000,
2dFGRSTGS471Z004_F395_450px                       ,450.00000000,450.00000000,5.17271233,0.77781746,-0.00060224,0.01952809,225.50095734,228.50025529,226.82111725,228.52095972,225.99328887,231.24877780,222.59963282,232.13001079,14.91945491,11.53974804,137.73376806,0.00613657,33.99999391,1.12836199,26.67682635,226.52509449,229.00410899,0.01601638,21.20688322,0.47614679,0.73077358,140.66965969,41.39555359,8.06093140,11.50634627,14.03055733,16.61779392,19.07963531,21.83938975,24.34035580,26.93157602,30.99187954,36.75818447,0.36932433,0.21067785,1.07733612,0.00047150,0.11957224,0.00326410,0.92082750,0.68716576,3.59191368,0.00469096,0.88612644,0.51450244,0.24671420,1.57513657,0.68499710,0.87121423,-0.62790515,3.74497720,0.00000000,
2dFGRSTGS471Z004_F410_450px                       ,450.00000000,450.00000000,4.33563367,0.77781746,-0.00043310,0.04616137,226.50083209,228.50113014,227.47827655,228.72951057,226.24919771,231.93309595,226.13397718,229.40403480,16.69086936,13.19989013,138.93764275,0.03691295,21.25931347,0.51644075,90.42141764,226.04783861,229.71361331,0.03219359,23.13969485,0.65765905,0.75528229,143.02950905,138.96244812,9.22628317,13.11867785,16.45033889,19.93605376,23.34920364,27.36786732,34.54687361,42.98809175,53.99820227,33.21549722,0.51545810,0.36410723,1.03665930,0.00033206,0.14715773,0.00265866,0.91566679,0.60688102,3.02199460,0.00261285,0.94470617,0.52353755,0.21756421,1.54177698,0.67436875,0.87939584,2.61940628,7.36096425,0.00000000,
2dFGRSTGS471Z004_F430_450px                       ,450.00000000,450.00000000,4.17920370,0.77781746,0.00055142,0.04858524,224.50131198,229.50095907,225.26681345,229.59657263,226.49917087,231.05013732,226.21851539,229.15134204,15.41636656,11.87074097,135.88802362,0.04072240,20.98102113,0.58138172,11.75921083,225.52395370,230.86349305,0.03754612,21.32009044,0.67826317,0.79514237,145.62162424,117.75301361,7.64878894,11.09940068,14.25835359,16.82857183,19.39685819,21.95516563,25.05817848,28.32479489,32.69930252,32.77619728,0.40686724,0.22680710,1.06414719,0.00041241,0.10380511,0.00381357,0.92788134,0.59315239,2.35368850,0.00296099,0.87105171,0.53075219,0.20489703,1.55500068,0.67233183,0.87746051,-0.86974394,6.57618807,0.00000000,
2dFGRSTGS471Z004_F515_450px                       ,450.00000000,450.00000000,3.89533579,0.77781746,-0.00012360,0.05140863,225.50115449,229.50143938,226.59588421,229.96186115,225.82455926,231.22268042,224.68088723,231.93003622,17.30079449,12.71266610,149.40171546,0.05442123,22.30492721,0.52288085,24.63309993,225.55438281,230.47967072,0.04841953,23.61166530,0.64957755,0.72974633,148.73072959,194.76388550,9.01295885,13.36418798,16.71268393,19.73741527,23.18876650,26.96768006,31.17886300,37.96165915,48.93383272,39.75434769,0.45340261,0.32433159,1.03172692,0.00026387,0.13642684,0.00672352,0.91038745,0.63192480,2.98737545,0.00577644,0.84677960,0.54515355,0.10296749,1.55643323,0.67400396,0.86764839,-0.09336967,7.14595024,0.00000000,
2dFGRSTGS471Z004_F660_450px                       ,450.00000000,450.00000000,3.55152017,0.77781746,0.00003945,0.01533563,225.50151373,227.50055947,226.52266872,227.63336138,227.19226549,229.31316374,228.39071027,229.22660642,17.38602296,13.23880759,137.16926070,0.04465037,24.46107591,0.50000003,17.36935778,226.23995294,227.15240508,0.05865035,22.12925473,0.34674577,0.70585331,136.37398730,183.55389404,9.53857645,13.83338022,17.27124886,20.35550727,23.55726856,27.03480964,30.09248202,35.20971496,50.03814298,38.99204531,0.40573420,0.32717625,0.68834215,0.00008353,0.26561589,0.05771185,0.88669538,0.41719283,2.64093425,0.02134882,0.56749326,0.63866452,-0.60337110,1.57127142,0.54303528,0.72423241,0.16918595,6.60292586,0.00000000,
2dFGRSTGS471Z004_F861_450px                       ,450.00000000,450.00000000,3.70558861,0.77781746,0.00088050,0.07113807,226.50131998,230.50034952,227.43375040,230.93300332,226.26446702,233.68501125,229.86262746,228.48130367,7.70136296,6.69943047,165.34613340,0.05620984,21.32988397,0.60326619,64.83581369,226.45507347,230.77092258,0.04734396,26.98766099,0.75938698,0.66213410,143.97378104,255.12561035,9.00628819,12.90842523,16.40589513,20.15596058,24.50365297,29.46328067,36.82671626,46.40199542,59.96367735,39.82664493,0.55566339,0.38865743,1.03247842,0.00027874,0.19083432,0.00718310,0.98090249,0.65265583,2.58098111,0.00526450,0.72881308,0.53086852,0.25716127,1.57700197,0.66773402,0.85596914,1.06620666,6.04838046,0.00000000,
2dFGRSTGS471Z004_G_450px                          ,450.00000000,450.00000000,4.20138572,0.77781746,0.00147084,0.14102063,226.50019121,229.50038185,226.54280783,229.29987596,225.62702564,231.64863933,223.16851087,233.12629732,17.24547402,12.53419162,138.91483265,0.34885694,21.06965260,0.49999993,153.82225815,226.40271915,230.00742073,0.37299018,20.04857492,0.48047217,0.74189467,141.74500744,1126.36376953,8.61428815,12.78028112,16.11503640,19.20640103,22.35552494,25.91815741,30.29207154,37.35410612,54.74187514,37.99732425,0.46579794,0.38893480,0.82468003,0.00012518,0.18216545,0.02220485,0.81269768,0.52288778,0.53947180,0.00812950,0.72846897,0.60210598,-0.53877776,1.59190762,0.52126034,0.84320884,-1.75098062,3.90608437,0.00000000,
2dFGRSTGS471Z004_I_450px                          ,450.00000000,450.00000000,3.55581933,0.77781746,-0.00562871,0.16068785,226.50137235,229.50036919,227.18886628,229.48845910,226.49980335,231.09436327,229.15194311,230.15401803,14.97085913,10.90344557,139.51515435,0.33216727,21.30879333,0.51351693,22.38238441,226.98373735,230.40260344,0.30292226,22.64575786,0.61289660,0.69835494,141.41979777,1077.09875488,8.58899629,12.82884865,16.10962469,19.32204651,22.31478596,25.83482416,29.82262553,36.60018528,49.28368679,36.63498729,0.45529560,0.34411046,0.82887303,0.00014915,0.22449709,0.02194942,0.95549336,0.49978164,1.87688636,0.00812139,0.62669276,0.58231884,-0.15185906,1.55541282,0.55393479,0.79802833,-0.41239140,4.75090061,0.00000000,
2dFGRSTGS471Z004_R_450px                          ,450.00000000,450.00000000,3.48278782,0.77781746,-0.00975434,0.14163612,226.50027872,229.50021743,226.51505965,229.29195459,225.53436917,231.96813026,230.35753817,227.51139163,17.80167901,13.04396045,141.29773351,0.38371639,21.51134685,0.49999994,75.29487206,226.28751207,230.00071057,0.38425165,21.51184329,0.52386241,0.72277302,139.62866606,1336.89025879,9.13096618,13.34057556,16.91190961,19.96169721,23.18284060,27.25349987,32.26938032,42.55936121,56.56537444,37.41241573,0.50382053,0.38738402,0.76019500,0.00010593,0.20887490,0.02781026,0.91376882,0.46302472,0.55806793,0.01092763,0.65179908,0.60176195,-0.48517814,1.59989836,0.52433879,0.85044920,-0.00010083,4.63165356,0.00000000,
