# rootname919                                     ,Mo,No,psffwhm,asecpix,skybg,skybgstd,x0peak,y0peak,x0col,y0col,x0A1fit,y0A1fit,x0A3fit,y0A3fit,a,b,PAdeg,InFit1D,RnFit1D,nFit1D,xsin,x0Fit2D,y0Fit2D,InFit2D,RnFit2D,nFit2D,qFit2D,PAFit2D,LT,R10,R20,R30,R40,R50,R60,R70,R80,R90,Rp,C1,C2,BGmedian,A_e,A0,A1,A2,A3,A4,S1,S3,G,M20,psi,sigma_psi,H,IRkurvmedian,IRkurvmad,QF,
2dFGRSTGS848Z606_F378_450px                       ,450.00000000,450.00000000,6.58607235,0.77781746,-0.00016101,0.02164484,205.50174346,194.50071636,206.42003946,195.45792591,212.95205985,210.26714361,212.59480560,205.59145940,12.03652564,8.67179928,89.85158809,0.12110134,6.33566794,0.49999961,33.59871263,201.93815697,193.99300360,0.14723727,2.31395323,7.63846426,0.05024107,6.98330857,35.26105881,3.98106750,4.65290974,5.82878535,6.40747584,6.78942487,7.15307408,7.55778498,8.17395206,9.80408239,6.93232809,0.24470746,0.15957397,0.06136343,0.00060213,0.87750986,0.00591685,0.94547383,0.14137931,19.13452594,0.00069987,0.87972743,0.80786169,-inf,1.57505192,0.10776411,0.49515554,-0.35338347,1.47954316,64.00000000,
2dFGRSTGS848Z606_F395_450px                       ,450.00000000,450.00000000,6.54665004,0.77781746,-0.00021826,0.03801906,206.50078189,192.50055598,202.25545536,194.20875542,202.38054182,194.40490408,201.82620723,193.28139942,2.75715509,1.98904619,38.92190172,0.24119631,3.62427452,0.50000811,58.56081646,202.04716001,193.97978387,0.38521244,2.02025608,4.09794222,0.05016858,157.05725630,36.57010651,1.00000000,1.28859574,1.66233416,2.08019159,2.55064144,3.08062543,3.69040319,4.52635220,6.18980451,5.44396199,0.54563165,0.38502752,0.06341892,0.00101787,0.03813634,0.00000000,0.93728984,0.04561404,84.05836832,0.00038979,0.84978001,0.70605495,-inf,1.57831714,0.06719862,0.50064716,0.13502172,0.38024980,65.00000000,
2dFGRSTGS848Z606_F410_450px                       ,450.00000000,450.00000000,5.28638742,0.77781746,-0.00073414,0.08248270,205.50077315,192.50007382,208.90542950,189.55544203,195.98535867,194.98737094,229.86646618,175.78806363,16.79927346,9.82008090,117.19954113,0.28849223,10.48616992,0.50000004,313.68761716,202.01330660,193.93242609,1.22488574,1.00012609,13.69351301,0.04999915,101.19838062,212.13653564,8.19830788,9.06733799,9.80443287,11.04224123,11.69031914,13.26649303,21.12814100,26.80440137,28.37006572,16.05498359,0.47072631,0.38503397,0.12920418,0.00038552,0.51315043,0.01696043,0.99008968,0.69958104,28.03735821,0.00843006,0.85965167,0.88354407,-inf,1.57169180,0.37330054,0.47872582,-0.07030276,2.37555464,64.00000000,
2dFGRSTGS848Z606_F430_450px                       ,450.00000000,450.00000000,5.22424877,0.77781746,-0.00131714,0.08701129,206.50020137,192.50066322,210.23673850,192.01869180,213.05116896,210.22970065,213.14601649,209.54707792,18.01766787,10.74299785,104.09424439,0.06781522,17.82130895,0.50000072,49.62788887,201.92372552,194.01536381,0.09168434,5.88772092,16.74076151,0.04999551,168.56610669,220.52330017,10.02017649,11.51901243,13.22564700,13.68311089,14.11245328,14.74502369,16.87829998,26.37593473,29.52577502,15.88438981,0.35979261,0.32059879,0.11540936,0.00039064,0.83265318,0.01740328,0.92399532,0.14796692,23.71821266,0.00939411,0.83975718,0.88456562,-inf,1.57636637,0.31925453,0.46444694,-0.28912886,3.32428148,72.00000000,
2dFGRSTGS848Z606_F515_450px                       ,450.00000000,450.00000000,4.23463295,0.77781746,-0.00109242,0.09250953,206.50137687,191.50078540,211.34013703,190.82150179,202.34161917,194.44332890,215.36440792,182.13041923,18.80914021,11.24485576,104.70316465,0.10138996,15.52147540,0.50000003,140.63531495,202.01917297,193.97430231,0.07906855,3.50370146,20.96525219,0.04999673,126.58801463,538.20745850,13.24799154,14.05272592,14.59109273,16.17934519,16.84566261,20.44933782,26.96149496,28.45342738,29.72179383,18.10894298,0.30637401,0.24658692,0.07208649,0.00017052,0.92607369,0.00066692,0.82263485,0.16515137,26.98229131,0.01511417,0.77983948,0.90498004,-inf,1.54751021,0.41047780,0.35521456,0.04342950,4.74972314,72.00000000,
2dFGRSTGS848Z606_F660_450px                       ,450.00000000,450.00000000,3.77597406,0.77781746,0.00042507,0.03232402,207.50100415,191.50057763,218.03729496,217.73529279,225.07096695,226.36389388,225.80560575,226.65440144,43.56516568,13.73484510,79.56864050,0.01891906,93.99999814,1.49578636,35.76561328,224.41217921,225.76871256,0.00844662,75.36634826,3.71532852,0.65841146,25.57862147,946.94458008,28.39267658,42.40024729,44.67665720,47.73236450,58.73697540,65.54422714,67.68827902,69.86809209,73.80074987,48.49718751,0.21691049,0.09914920,0.45191758,0.00003411,0.99868484,0.08692329,0.98244736,0.59257265,58.29498690,0.02135333,0.66713104,0.62725095,-0.22262949,1.54759248,0.51952940,0.71579370,0.56140313,3.61533640,64.00000000,
2dFGRSTGS848Z606_F861_450px                       ,450.00000000,450.00000000,3.09453211,0.77781746,-0.00241958,0.12138394,208.50110387,191.50101903,220.03922050,223.18199064,224.81568080,226.64334529,220.63706187,246.53625706,45.13083668,12.47762284,80.26745349,0.03741356,103.99999852,2.01607413,44.68826748,224.29292799,225.69932605,0.00175449,365.56959423,5.93021877,0.74330908,33.19448380,2058.03051758,28.92993571,51.14503677,56.31518397,58.81349612,59.97124635,62.53494724,68.27021150,73.38848738,76.42966345,81.23936513,0.15682444,0.10531887,0.82694377,0.00005896,0.49955450,0.07525875,0.99020541,0.84279666,41.50284060,0.07068850,0.76693025,0.60688929,-0.13744705,1.55314379,0.66512316,0.60677299,0.36054214,5.92367061,96.00000000,
2dFGRSTGS848Z606_G_450px                          ,450.00000000,450.00000000,4.26032228,0.77781746,0.00367038,0.31870997,206.50146343,191.50056930,211.39458922,191.39821392,246.48060014,181.02106876,218.32323418,188.59550788,19.20879588,11.27410742,103.29415761,0.31365953,26.99999744,0.49999969,24.10320508,201.99764367,193.97187092,0.25430044,4.38164880,20.99989229,0.63050006,83.09800245,2411.44238281,12.91133559,13.63471257,15.30336484,15.68971893,16.11898887,17.14589553,18.61548790,24.76130143,28.12205734,14.81841818,0.25912748,0.24170929,0.24095405,0.00013169,0.79000806,0.07621679,0.99711562,0.81101766,33.02779123,0.03219886,0.75735428,0.87853640,-0.19390859,1.55858494,0.20843010,0.20676603,-0.24798339,7.13284677,64.00000000,
2dFGRSTGS848Z606_I_450px                          ,450.00000000,450.00000000,4.38777285,0.77781746,-0.01030802,0.26823184,208.50064642,191.50050225,219.28716731,220.57183847,224.97762502,226.37008961,224.66317018,235.31900487,44.53125548,12.17795732,80.14358657,0.16104328,118.99978121,1.78229426,38.60942126,224.32202486,225.76730687,0.03932936,114.81357851,4.64287208,0.71390997,37.23830835,9323.73046875,30.09395914,51.02107284,54.42380323,57.59824324,62.17543461,64.78247551,69.76998188,73.51214705,78.51015512,83.09489906,0.15860952,0.10130701,0.75051856,0.00002876,0.49423957,0.10925037,0.98226638,0.73260445,37.31628384,0.06869162,0.57974441,0.69282222,-0.36472795,1.52930392,0.63501904,0.59224141,0.72810373,3.21533688,64.00000000,
2dFGRSTGS848Z606_R_450px                          ,450.00000000,450.00000000,3.65122489,0.77781746,-0.01045504,0.26677924,207.50169377,190.50137630,218.30661919,216.26331002,225.01377501,226.38711793,225.99018355,229.98213448,43.48811521,12.42122608,80.23927178,0.32369609,72.85481726,0.92248936,36.95346355,224.19808371,225.65722796,0.07532393,71.44915613,3.74370068,0.68452854,39.99934596,8895.36035156,31.89962924,46.54965813,49.61585070,52.70415745,62.44633643,67.23804958,69.07988414,71.41782995,80.54301284,84.09018215,0.18589015,0.11052091,0.69777308,0.00002998,0.76289823,0.11131325,0.98022597,0.76354720,33.22155186,0.06661390,0.58291310,0.66246444,-0.40519397,1.51078148,0.64433026,0.60432121,-0.43250075,5.45367198,64.00000000,
