# rootname919                                     ,Mo,No,psffwhm,asecpix,skybg,skybgstd,x0peak,y0peak,x0col,y0col,x0A1fit,y0A1fit,x0A3fit,y0A3fit,a,b,PAdeg,InFit1D,RnFit1D,nFit1D,xsin,x0Fit2D,y0Fit2D,InFit2D,RnFit2D,nFit2D,qFit2D,PAFit2D,LT,R10,R20,R30,R40,R50,R60,R70,R80,R90,Rp,C1,C2,BGmedian,A_e,A0,A1,A2,A3,A4,S1,S3,G,M20,psi,sigma_psi,H,IRkurvmedian,IRkurvmad,QF
2MASXJ03152575-3131130_F395_450px                 ,450,450,7.44988912,0.77781746,7.592E-05,0.01787148,209.50094059,226.50031697,209.61704303,226.61149761,208.58979667,226.37559481,212.65995913,227.6575335,6.79016749,6.12898572,104.52919245,0.00880731,15.53542756,2.36358597,17.93285805,208.5412719,225.84107887,8.69E-06,636.35270538,18.23917079,1,106.7928103,26.66409302,2.61635544,3.96783717,5.93287595,7.92667641,10.25738079,13.59951753,17.15568089,20.48313824,26.19643305,15.86579804,0.71284265,0.40720568,0.95843275,0.00066961,0.14545624,0.00085954,1.00081945,0.52180912,1.01319252,0.00072673,0.73772212,0.59002325,-inf,1.58334449,0.34713802,0.78833681,-0.19286456,5.08649053,32
2MASXJ03152575-3131130_F410_450px                 ,450,450,7.29757482,0.77781746,0.00213016,0.04245238,190.5010044,304.50202425,202.75533555,303.61921675,189.67460105,309.05991327,215.03503433,324.01558547,32.69874694,19.18392102,73.65344172,0.02818415,30.99999977,0.76082335,32.59152039,190.99985197,305.00015687,0.02713723,41.86948346,4.99438221,0.15921579,132.59236034,383.51409912,14.94722123,17.16567185,18.40369818,19.45892004,20.19798942,21.4057624,22.4591567,23.94466048,26.49028391,17.57078768,0.14454788,0.11777847,0.06878845,0.00011018,0.88038196,0.01655526,0.9714591,0.18847631,69.92338164,0.00613082,0.67404738,0.66164714,-inf,1.57835512,0.36562033,0.68611671,0.0378701,5.36622333,96
2MASXJ03152575-3131130_F430_450px                 ,450,450,7.13039352,0.77781746,0.00496808,0.04556927,190.50115938,304.50153134,202.90502118,300.28515737,214.03712318,283.74409025,192.10116625,307.24152402,34.82267113,18.73707864,78.58702202,0.01358443,45.99999822,1.27477221,43.93128715,191.77135467,305.01039009,0.05937686,15.25978002,20.99995424,0.55030062,129.09215659,514.05993652,18.28532796,20.59832505,22.13986636,23.44554952,24.405142,25.36692009,26.86226021,29.01585452,37.75310239,25.1827493,0.14880346,0.18947131,0.31222374,8.849E-05,0.7521469,0.03235284,0.99854481,0.55679803,52.02331352,0.00578343,0.60521555,0.6867614,-inf,1.55883778,0.56005543,0.64743932,-1.67327099,6.79316859,64
2MASXJ03152575-3131130_F660_450px                 ,450,450,6.16992185,0.77781746,0.00140264,0.01704587,190.50036906,304.50141238,206.28567275,284.84227375,191.34833091,304.96916886,188.91846914,302.87537618,41.16582143,24.43671665,97.18467232,0.01783352,56.99999773,0.55793958,72.10178468,191.26871578,305.68175361,0.05690092,17.58094689,21.00000144,0.79803077,125.11696809,1299.40356445,27.22604648,28.75240089,30.03050674,30.9304892,31.82151581,33.0759982,35.614761,45.47307533,55.13603708,30.19820861,0.19908021,0.23871468,0.13199256,1.31E-05,0.86800744,0.0328834,0.99914819,0.77330341,83.48922352,0.00659135,0.34236695,0.67999604,-inf,1.58406707,0.5522614,0.46140366,0.86394625,3.62902611,80
2MASXJ03152575-3131130_F861_450px                 ,450,450,5.7918922,0.77781746,0.00226828,0.08168416,190.5001057,304.50096782,202.3917687,279.77095136,200.17244026,265.69806791,200.18269612,265.69477531,43.32569447,17.64651556,93.05454444,0.02929374,2,49.99382238,465.96533511,191.02636726,304.61924179,10.87845993,2.21981457,21.00000015,1.00000655,100.76647047,0.99960887,1,1.27587253,1.64102864,1.98123615,2.32416799,2.70013022,3.1895255,3.95238272,4.59983264,2.92186369,0.4910517,0.29647451,0.00499002,0.00306518,0.71356871,0.10790465,0.74621566,0.01543693,939.14643757,0,nan,0.69585048,-0.3384383,1.57390078,0.02793891,0.58752955,0.28752366,1.3817409,73
2MASXJ03152575-3131130_G_450px                    ,450,450,6.50810744,0.77781746,0.00585937,0.14553832,190.50069783,304.50161215,206.62834467,291.39696495,191.51759006,304.7205659,189.32502528,304.39765497,39.01456757,25.05575645,94.59690193,0.16069753,45.99999408,0.49999975,26.68291448,190.98643591,304.88518776,6.41275847,4.52936067,3.72228405,0.81572584,141.40420413,6365.96630859,23.14328211,24.79351662,25.97983755,26.66604034,27.3666474,28.25918647,29.36859704,31.27773336,38.35568251,24.83505682,0.10089714,0.14660812,0.12897188,2.283E-05,0.80956846,0.01918384,0.99819149,0.47145447,83.67440647,0.00456666,0.44580557,0.68357455,-inf,1.54427646,0.56677644,0.62621565,-0.05033391,3.81559551,80
2MASXJ03152575-3131130_I_450px                    ,450,450,6.12297507,0.77781746,0.00625479,0.17827579,190.50030631,304.50128919,206.34689226,281.50515268,342.53735861,147.15304171,203.47937563,253.81539464,42.27775412,23.98674195,96.89442966,0.3092635,66.99998488,0.49999491,45.3790116,190.91239702,304.81361929,1.3792867,10.74822337,20.99990637,0.82620455,113.35608273,14855.88867188,30.27863454,32.19439355,33.16555603,34.44784843,35.71090679,40.78122295,49.81050269,55.18214489,59.28721093,35.14243648,0.23401833,0.22016014,0.16335197,1.199E-05,0.83664803,0.12869637,1.00269146,0.43557089,79.46900518,0.03245166,0.35074269,0.75499085,-0.04233476,1.58271062,0.64351236,0.17855603,-0.03472986,4.96598178,80
2MASXJ03152575-3131130_R_450px                    ,450,450,5.99334008,0.77781746,0.00572261,0.14616552,190.50052291,304.50145207,206.34476703,285.60517334,234.31829768,284.9959855,188.88345368,303.42515058,41.12664401,24.49968814,96.48944599,0.2280301,54.99998788,0.49999865,42.87389106,190.99492867,304.76963824,3.5183821,6.77252849,16.29767226,0.83703595,126.61669146,11426.86621094,26.76202996,28.35031922,29.54329253,30.35288954,31.3517253,32.32938566,33.82182379,40.48693981,48.95207273,29.0553565,0.154757,0.19350964,0.11580301,1.278E-05,0.88419699,0.06742935,0.99085785,0.73100414,84.87204321,0.00650203,0.34346303,0.68014818,-inf,1.57316301,0.58106303,0.57319922,0.21973786,5.84993853,88
2MASXJ10282351-2646143_F378_450px                 ,450,450,5.56558521,0.77781746,-0.00235181,0.00483677,206.50164169,212.5007745,208.0293077,213.37493214,210.91476197,218.83411914,205.8085375,211.31666642,9.89533554,8.70777117,56.64308182,0.20612735,3.99833643,15.18913524,9.44393125,206.23620499,212.19026393,0.20713998,4.59292446,20.99768781,0.82296229,46.94612045,52.2228508,3.07713818,3.48078027,3.82049362,4.17634921,4.58767037,5.05010939,5.55915963,6.27889881,7.99392805,5.92572466,0.25620688,0.24116803,0.05043776,9.178E-05,0.76343839,0.0500682,0.95863268,0.19049735,29.70251898,0.00194994,0.8485807,0.79818559,-inf,1.56952133,0.07462833,0.40748038,-0.05963663,1.08924988,64
2MASXJ10282351-2646143_F395_450px                 ,450,450,5.81802395,0.77781746,-0.00372327,0.00766111,206.5015127,212.50054492,206.21467844,212.52218163,211.26924921,218.8814431,199.95384689,222.36154948,6.38487865,3.89508376,56.21418352,0.55264731,3.6574381,0.79106923,78.03044191,205.11282634,211.0826363,4.66410668,1.63895432,3.75953713,0.04999892,41.49181103,60.28969193,1.40727415,1.88994387,2.33205697,2.78761821,3.32661971,3.98940328,4.70270846,5.7268234,8.15462108,6.4142895,0.48146489,0.38940063,0.02393159,0.00012474,0.87848005,0.00864386,0.95995258,0.1965812,4.48450532,0.00030502,0.82701685,0.81280614,-inf,1.57214517,0.10953982,0.47730252,0.68882409,1.19418987,0
